1	121700000	123400000	p11.1	acen
1	123400000	125100000	q11	acen
1	125100000	143200000	q12	gvar
2	91800000	93900000	p11.1	acen
2	93900000	96000000	q11.1	acen
3	87800000	90900000	p11.1	acen
3	90900000	94000000	q11.1	acen
3	94000000	98600000	q11.2	gvar
4	48200000	50000000	p11	acen
4	50000000	51800000	q11	acen
5	46100000	48800000	p11	acen
5	48800000	51400000	q11.1	acen
6	58500000	59800000	p11.1	acen
6	59800000	62600000	q11.1	acen
7	58100000	60100000	p11.1	acen
7	60100000	62100000	q11.1	acen
8	43200000	45200000	p11.1	acen
8	45200000	47200000	q11.1	acen
9	42200000	43000000	p11.1	acen
9	43000000	45500000	q11	acen
9	45500000	61500000	q12	gvar
10	38000000	39800000	p11.1	acen
10	39800000	41600000	q11.1	acen
11	51000000	53400000	p11.11	acen
11	53400000	55800000	q11	acen
12	33200000	35500000	p11.1	acen
12	35500000	37800000	q11	acen
13	0	4600000	p13	gvar
13	10100000	16500000	p11.2	gvar
13	16500000	17700000	p11.1	acen
13	17700000	18900000	q11	acen
14	0	3600000	p13	gvar
14	8000000	16100000	p11.2	gvar
14	16100000	17200000	p11.1	acen
14	17200000	18200000	q11.1	acen
15	0	4200000	p13	gvar
15	9700000	17500000	p11.2	gvar
15	17500000	19000000	p11.1	acen
15	19000000	20500000	q11.1	acen
16	35300000	36800000	p11.1	acen
16	36800000	38400000	q11.1	acen
16	38400000	47000000	q11.2	gvar
17	22700000	25100000	p11.1	acen
17	25100000	27400000	q11.1	acen
18	15400000	18500000	p11.1	acen
18	18500000	21500000	q11.1	acen
19	19900000	24200000	p12	gvar
19	24200000	26200000	p11	acen
19	26200000	28100000	q11	acen
19	28100000	31900000	q12	gvar
20	25700000	28100000	p11.1	acen
20	28100000	30400000	q11.1	acen
21	0	3100000	p13	gvar
21	7000000	10900000	p11.2	gvar
21	10900000	12000000	p11.1	acen
21	12000000	13000000	q11.1	acen
22	0	4300000	p13	gvar
22	9400000	13700000	p11.2	gvar
22	13700000	15000000	p11.1	acen
22	15000000	17400000	q11.1	acen
X	58100000	61000000	p11.1	acen
X	61000000	63800000	q11.1	acen
Y	10300000	10400000	p11.1	acen
Y	10400000	10600000	q11.1	acen
Y	26600000	57227415	q12	gvar
